Date,Market,Symbol,Market Cap,PE,PEG,PBV,BVPS,Dividend Yield,12M Dividend Yield,Volume Turnover
21/10/2021,SET,PRM,"16,750,000,000",10.26,0.31,2.02,3.32,3.73,3.73,0.2
21/10/2021,SET,PSL,"29,470,616,192",24.42,-0.13,2.44,7.75,,2.65,1.72
21/10/2021,SET,PTG,"25,885,000,000",11.71,0.18,3.2,4.85,3.23,3.23,1.79
21/10/2021,SET,PTL,"22,500,000,000",9.35,10.2,1.37,18.26,4,4,0.34
21/10/2021,SET,PTT,"1,142,519,850,000",13.53,0.18,1.18,33.94,2.5,5.05,0.16
21/10/2021,SET,PTTEP,"498,233,167,700",17.54,-0.87,1.29,97.06,3.39,3.78,0.29
21/10/2021,SET,PTTGC,"297,584,041,722",7.08,-0.01,0.95,69.57,1.51,4.52,0.27
21/10/2021,SET,QH,"25,071,653,049",12.13,-0.98,0.94,2.48,5.13,4.7,1.1
21/10/2021,SET,RATCH,"66,700,000,000",8.27,0.12,1.01,45.6,5.22,5.22,0.55
21/10/2021,SET,RBF,"40,000,000,000",89.75,-26.21,10.04,1.99,0.75,0.75,0.39
21/10/2021,SET,RS,"17,407,695,333",40.14,-6.96,7.81,2.29,,,0.28
21/10/2021,SET,SAWAD,"87,881,753,152",17.72,0.66,3.92,16.34,2.81,2.81,0.3
21/10/2021,SET,SCB,"421,060,516,300",14.78,-0.6,1,124.13,1.85,3.01,0.35
21/10/2021,SET,SCC,"475,200,000,000",9.53,0.14,1.35,293.32,3.54,4.29,0.24
21/10/2021,SET,SCGP,"271,527,202,650",37.61,2.55,2.91,21.7,0.71,1.11,0.4
21/10/2021,SET,SINGER,"20,772,429,748",36.82,0.35,5.72,7.33,0.55,0.72,0.37
21/10/2021,SET,SPALI,"46,290,513,528",7.58,0.25,1.1,19.71,4.63,4.63,3.35
21/10/2021,SET,SPRC,"48,562,103,800",12.42,-0.09,1.56,7.17,,,0.59
21/10/2021,SET,STA,"54,527,999,929",2.93,,1.21,29.41,6.34,12.68,1.52
21/10/2021,SET,STEC,"21,046,470,252",23.34,-0.82,1.46,9.48,2.17,2.17,0.32
